挙げる,あげる,ageru,raise,,挙がる,あがる,agaru,rise
上げる,あげる,ageru,raise,,上がる,あがる,agaru,rise
揚げる,あげる,ageru,fry,,揚がる,あがる,agaru,be fried
開ける,あける,akeru,open,,開く,あく,aku,open
空ける,あける,akeru,open,,空く,あく,aku,open
明ける,あける,akeru,open,,明く,あく,aku,open
遊ばす,あそばす,asobasu,let play,,遊ぶ,あそぶ,asobu,play
温める,あたためる,atatameru,warm,,温まる,あたたまる,atatamaru,get warm
当てる,あてる,ateru,hit,,当たる,あたる,ataru,hit
集める,あつめる,atsumeru,gather,,集まる,あつまる,atsumaru,be gathered
浴びせる,あびせる,abiseru,bathe,,浴びる,あびる,abiru,bathe
余す,あます,amasu,leave,,余る,あまる,amaru,be left
改める,あらためる,aratameru,renew,,改まる,あらたまる,aratamaru,be renewed
現す,あらわす,arawasu,show,,現れる,あらわれる,arawareru,appear
生かす,いかす,ikasu,make live,,生きる,いきる,ikiru,live
傷める,いためる,itameru,damage,,傷む,いたむ,itamu,be damaged
痛める,いためる,itameru,hurt,,痛む,いたむ,itamu,be hurt
燻す,いぶす,ibusu,smoke,,燻ぶる,いぶる,iburu,smoke
植える,うえる,ueru,plant,,植わる,うわる,uwaru,be planted
浮かべる,うかべる,ukaberu,float up,,浮かぶ,うかぶ,ukabu,float up
浮かす,うかす,ukasu,float,,浮く,うく,uku,float
動かす,うごかす,ugokasu,move,,動く,うごく,ugoku,move
移す,うつす,utsusu,move (a to b),,移る,うつる,utsuru,move (a to b)
映す,うつす,utsusu,reflect,,映る,うつる,utsuru,be reflected
写す,うつす,utsusu,project,,写る,うつる,utsuru,project
生む,うむ,umu,give birth,,生まれる,うまれる,umareru,be born
売る,うる,uru,sell,,売れる,うれる,ureru,sell
起こす,おこす,okosu,wake up,,起きる,おきる,okiru,wake up
治める,おさめる,osameru,rule,,治まる,おさまる,osamaru,be ruled
収める,おさめる,osameru,obtain,,収まる,おさまる,osamaru,be obtained
修める,おさめる,osameru,control,,修まる,おさまる,osamaru,be controled
納める,おさめる,osameru,reach,,納まる,おさまる,osamaru,be reached
落とす,おとす,otosu,drop,,落ちる,おちる,ochiru,fall
驚かす,おどろかす,odorokasu,surprise,,驚く,おどろく,odoroku,be surprised
溺らす,おぼらす,oborasu,drown,,溺れる,おぼれる,oboreru,drown
降ろす,おろす,orosu,lower,,降りる,おりる,oriru,go down
折る,おる,oru,break,,折れる,おれる,oreru,break
終える,おえる,oeru,finish,,終わる,おわる,owaru,finish
帰す,かえす,kaesu,return (home),,帰る,かえる,kaeru,return (home)
返す,かえす,kaesu,return,,返る,かえる,kaeru,return
掛ける,かける,kakeru,spend,,掛かる,かかる,kakaru,cost
隠す,かくす,kakusu,hide,,隠れる,かくれる,kakureru,hide
重ねる,かさねる,kasaneru,pile up,,重なる,かさなる,kasanaru,piled up
片付ける,かたづける,katazukeru,tidy,,片付く,かたづく,katazuku,be tidied
固める,かためる,katameru,harden,,固まる,かたまる,katamaru,harden
被せる,かぶせる,kabuseru,cover,,被る,かぶる,kaburu,wear
絡める,からめる,karameru,tangle,,絡む,からむ,karamu,be tangled
枯らす,からす,karasu,let wither,,枯れる,かれる,kareru,wither
換える,かえる,kaeru,change,,換わる,かわる,kawaru,change
替える,かえる,kaeru,change,,替わる,かわる,kawaru,change
代える,かえる,kaeru,change,,代わる,かわる,kawaru,change
変える,かえる,kaeru,change,,変わる,かわる,kawaru,change
消す,けす,kesu,extinguish,,消える,きえる,kieru,disappear
聞く,きく,kiku,hear,,聞こえる,きこえる,kikoeru,be audible
決める,きめる,kimeru,decide,,決まる,きまる,kimaru,be decided
清める,きよめる,kiyomeru,purify,,清まる,きよまる,kiyomaru,be purified
切る,きる,kiru,cut,,切れる,きれる,kireru,be cut
究める,きわめる,kiwameru,master,,究まる,きわまる,kiwamaru,be mastered
窮める,きわめる,kiwameru,master,,窮まる,きわまる,kiwamaru,be mastered
極める,きわめる,kiwameru,take to limit,,極まる,きわまる,kiwamaru,reach limit
砕ける,くだける,kudakeru,smash,,砕く,くだく,kudaku,be smashed
降す,くだす,kudasu,lower,,降る,くだる,kudaru,descend
下す,くだす,kudasu,lower,,下る,くだる,kudaru,descend
