1,WORD_NOUN,,KATAKANA,Genki 1-1,,零,ゼロ,,zero,"zero (〇 używane z cyframi kanji)
0 (〇 używane z cyframi kanji)
nic",,DICTIONARY2_SOURCE,DUPLICATE 24759,GroupId: 2839962
2,"WORD_NUMBER
WORD_ADJECTIVE_NO
WORD_NOUN
WORD_PREFIX
WORD_SUFFIX
WORD_NOUN_PREFIX",,HIRAGANA,Genki 1-1,,一,いち,,ichi,"jeden (壱, 弌 i 壹 używane w dokumentach prawnych)
1 (壱, 弌 i 壹 używane w dokumentach prawnych)
najlepszy
pierwszy
czołowy
początek
rozpoczęcie
start
jeden (pojedynczy) (przed rzeczownikiem)
jeden (z wielu) (przed rzeczownikiem)
as (gra w karty; figura w kartach)
dolna struna (np. w shamisen)",,DICTIONARY2_SOURCE,"DUPLICATE 26514
DUPLICATE 47473
DUPLICATE 47495
DUPLICATE 47496
DUPLICATE 52732
DUPLICATE 61641
DUPLICATE 203496",GroupId: 1160790
3,WORD_NUMBER,,HIRAGANA,Genki 1-1,,二,に,,ni,"dwa
2","ふ i ふう używane głównie podczas liczenia na głos, 弐, 貳 i 貮 używane w dokumentach prawnych",DICTIONARY2_SOURCE,"DUPLICATE 13596
DUPLICATE 27654
DUPLICATE 27655
DUPLICATE 27656
DUPLICATE 51441
DUPLICATE 88828
DUPLICATE 237672
DUPLICATE 292131",GroupId: 1461140
4,WORD_NUMBER,,HIRAGANA,Genki 1-1,,三,さん,,san,"trzy
3",参 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 77
DUPLICATE 27672
DUPLICATE 53619",GroupId: 1579350
5,WORD_NUMBER,,HIRAGANA,Genki 1-1,,四,し,,shi,"cztery
4",肆 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 10785
DUPLICATE 24760
DUPLICATE 24761
DUPLICATE 55088
DUPLICATE 204896",GroupId: 1579470
6,WORD_NUMBER,,HIRAGANA,Genki 1-1,,五,ご,,go,"pięć
5",伍 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 25950
DUPLICATE 25951
DUPLICATE 61642",GroupId: 1268060
7,WORD_NUMBER,,HIRAGANA,Genki 1-1,,六,ろく,,roku,"sześć
6",陸 używane w dokumentach,DICTIONARY2_SOURCE,"DUPLICATE 25958
DUPLICATE 25959
DUPLICATE 59413
DUPLICATE 237675
DUPLICATE 237676",GroupId: 1585310
8,WORD_NUMBER,,HIRAGANA,Genki 1-1,,七,なな,,nana,"siedem
7",漆 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 24762
DUPLICATE 25965
DUPLICATE 51342
DUPLICATE 166633
DUPLICATE 315552",GroupId: 1319210
9,WORD_NUMBER,,HIRAGANA,Genki 1-1,,八,はち,,hachi,"osiem
8",捌 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 27677
DUPLICATE 54033",GroupId: 1583090
10,WORD_NUMBER,,HIRAGANA,Genki 1-1,,九,きゅう,,kyuu,"dziewięć
9",玖 używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 24763
DUPLICATE 25972
DUPLICATE 25973
DUPLICATE 25974
DUPLICATE 68939
DUPLICATE 93182",GroupId: 1578150
