BEGIN,2838091,,,,,,,
KANJI,2838091,虐待死,,,,,,
READING,2838091,HIRAGANA,ぎゃくたいし,gyakutaishi,-,,,
SENSE_COMMON,2838091,,,"noun (common) (futsuumeishi)
noun or participle which takes the aux. verb suru",,,,
SENSE_ENG,2838091,"death by (child) abuse
(child) abuse resulting in death",,,,,,
SENSE_POL,2838091,"znęcanie się nad dzieckiem skutkujące jego śmiercią
maltretowanie dziecka skutkujące jego śmiercią",,,,,,
END,2838091,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2774920,,,,,,,
KANJI,2774920,ノアの方舟貝,,,,,,
READING,2774920,KATAKANA_HIRAGANA,ノアのはこぶねがい,noa no hakobunegai,-,,,
READING,2774920,KATAKANA,ノアノハコブネガイ,noa no hakobunegai,NO_KANJI,,,
SENSE_COMMON,2774920,,,noun (common) (futsuumeishi),,,,
SENSE_ENG,2774920,Noah's ark (Arca noae),,,,,,
SENSE_POL,2774920,Arka Noego,,,,,,
END,2774920,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2845129,,,,,,,
KANJI,2845129,スマイル仮面症候群,,,,,,
READING,2845129,KATAKANA_HIRAGANA,スマイルかめんしょうこうぐん,sumairu kamen shoukougun,-,,,
SENSE_COMMON,2845129,,,noun (common) (futsuumeishi),,,medicine,
SENSE_ENG,2845129,"smile mask syndrome
state of constantly smiling and suppressing one's emotions|expl",,,,,,
SENSE_POL,2845129,"syndrom uśmiechniętej maski
stan ciągłego uśmiechania się i tłumienia emocji|expl",,,,,,
END,2845129,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2837540,,,,,,,
READING,2837540,HIRAGANA_KATAKANA,ほーん,hoon,-,,,
SENSE_COMMON,2837540,,,interjection (kandoushi),,,,colloquialism
SENSE_ENG,2837540,"huh?
um, OK...
hmm
hum",,,,,,
SENSE_POL,2837540,"he?
że co?
um, OK...
hmm
jum",,,,,,
END,2837540,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2846432,,,,,,,
KANJI,2846432,込み上がる,,,,,,
KANJI,2846432,込みあがる,,,,,,
KANJI,2846432,こみ上がる,,,,,,
READING,2846432,HIRAGANA,こみあがる,komi agaru,-,,,
SENSE_COMMON,2846432,,,"Godan verb with 'ru' ending
intransitive verb",込み上げる・1,,,
SENSE_ENG,2846432,"to well up (of tears, anger, joy, etc.)
to surge up (within oneself)
to rise
to fill one's heart
to overcome one",non-standard form of 込み上げる,,,,,
SENSE_POL,2846432,"zbierać się (o łzach, złości, radości i etc)
wzbierać (o sobie)
napełnić swoje serce",niestandardowa forma 込み上げる,,,,,
END,2846432,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2718310,,,,,,,
READING,2718310,KATAKANA,マグネト,maguneto,-,,,
SENSE_COMMON,2718310,,,noun (common) (futsuumeishi),,,,
SENSE_ENG,2718310,magneto,,,,,,
SENSE_POL,2718310,"magneto
iskrownik",,,,,,
END,2718310,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,1954030,,,,,,,
KANJI,1954030,土手っ腹,,,,,,
READING,1954030,HIRAGANA,どてっぱら,doteppara,-,,,
SENSE_COMMON,1954030,,,noun (common) (futsuumeishi),,,,
SENSE_ENG,1954030,guts,,,,,,
SENSE_POL,1954030,"brzuch
jama brzuszna",,,,,,
END,1954030,,,,,,,
,,,,,,,,
,,,,,,,,
BEGIN,2438030,,,,,,,
READING,2438030,KATAKANA,アンギナ,angina,-,,,
SENSE_COMMON,2438030,,,"noun (common) (futsuumeishi)
nouns which may take the genitive case particle 'no'",,,,
SENSE_ENG,2438030,angina,,,,,,
